主站点号,电压等级,间隔名称,设备名称,设备大类,信息分类,告警分级,量测类型,动作量词,信号类型,是否上光字牌,主站端描述（合并信息填母点描述）,厂站端描述
44,110kV,110kV112备用线,112-17接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,112-17,112-17
45,110kV,110kV112备用线,112-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,112-27,112-27
46,110kV,110kV112备用线,112-47接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,112-47,112-47
47,110kV,110kV113备用线,113开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,113,113
48,110kV,110kV113备用线,113-2刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,113-2,113-2
49,110kV,110kV113备用线,113-4刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,113-4,113-4
50,110kV,110kV113备用线,113-17接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,113-17,113-17
51,110kV,110kV113备用线,113-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,113-27,113-27
52,110kV,110kV113备用线,113-47接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,113-47,113-47
53,110kV,110kV114备用线,114开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,114,114
54,110kV,110kV114备用线,114-2刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,114-2,114-2
55,110kV,110kV114备用线,114-4刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,114-4,114-4
56,110kV,110kV114备用线,114-17接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,114-17,114-17
57,110kV,110kV114备用线,114-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,114-27,114-27
58,110kV,110kV114备用线,114-47接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,114-47,114-47
59,110kV,110kV115备用线,115开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,115,115
60,110kV,110kV115备用线,115-2刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,115-2,115-2
61,110kV,110kV115备用线,115-4刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,115-4,115-4
62,110kV,110kV115备用线,115-17接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,115-17,115-17
63,110kV,110kV115备用线,115-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,115-27,115-27
64,110kV,110kV115备用线,115-47接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,115-47,115-47
65,110kV,110kV116备用线,116开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,116,116
66,110kV,110kV116备用线,116-2刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,116-2,116-2
67,110kV,110kV116备用线,116-4刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,116-4,116-4
68,110kV,110kV116备用线,116-17接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,116-17,116-17
69,110kV,110kV116备用线,116-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,116-27,116-27
70,110kV,110kV116备用线,116-47接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,116-47,116-47
71,110kV,110kV41母线,4-91刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,4-91,4-91
72,110kV,110kV41母线,41-7接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,41-7,41-7
73,110kV,110kV41母线,4-917接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,-917,-917
74,110kV,110kV42母线,4-92刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,4-92,4-92
75,110kV,110kV42母线,42-7接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,42-7,42-7
76,110kV,110kV42母线,4-927接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,-927,-927
77,110kV,110kV43母线,4-93刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,4-93,4-93
78,110kV,110kV43母线,43-7接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,43-7,43-7
79,110kV,110kV43母线,4-937接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,-937,-937
80,10kV,10kV海11备用线,海11开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海11,海11
81,10kV,10kV海11备用线,海11开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海11开关手车工作位置,海11开关手车工作位置
82,10kV,10kV海11备用线,海11-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海11-27,海11-27
83,10kV,10kV海12备用线,海12开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海12,海12
84,10kV,10kV海12备用线,海12开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海12开关手车工作位置,海12开关手车工作位置
85,10kV,10kV海12备用线,海12-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海12-27,海12-27
86,10kV,10kV海13备用线,海13开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海13,海13
87,10kV,10kV海13备用线,海13开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海13开关手车工作位置,海13开关手车工作位置
88,10kV,10kV海13备用线,海13-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海13-27,海13-27
89,10kV,10kV海14备用线,海14开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海14,海14
90,10kV,10kV海14备用线,海14开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海14开关手车工作位置,海14开关手车工作位置
91,10kV,10kV海14备用线,海14-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海14-27,海14-27
92,10kV,10kV海15备用线,海15开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海15,海15
93,10kV,10kV海15备用线,海15开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海15开关手车工作位置,海15开关手车工作位置
94,10kV,10kV海15备用线,海15-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海15-27,海15-27
95,10kV,10kV海16备用线,海16开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海16,海16
96,10kV,10kV海16备用线,海16开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海16开关手车工作位置,海16开关手车工作位置
97,10kV,10kV海16备用线,海16-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海16-27,海16-27
98,10kV,10kV海17备用线,海17开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海17,海17
99,10kV,10kV海17备用线,海17开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海17开关手车工作位置,海17开关手车工作位置
100,10kV,10kV海17备用线,海17-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海17-27,海17-27
101,10kV,10kV海18备用线,海18开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海18,海18
102,10kV,10kV海18备用线,海18开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海18开关手车工作位置,海18开关手车工作位置
103,10kV,10kV海18备用线,海18-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海18-27,海18-27
104,10kV,10kV海19备用线,海19开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海19,海19
105,10kV,10kV海19备用线,海19开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海19开关手车工作位置,海19开关手车工作位置
106,10kV,10kV海19备用线,海19-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海19-27,海19-27
107,10kV,10kV海1甲备用线,海1甲开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海1甲,海1甲
108,10kV,10kV海1甲备用线,海1甲开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海1甲开关手车工作位置,海1甲开关手车工作位置
109,10kV,10kV海1甲备用线,海1甲-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海1甲-27,海1甲-27
110,10kV,10kV海1乙备用线,海1乙开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海1乙,海1乙
111,10kV,10kV海1乙备用线,海1乙开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海1乙开关手车工作位置,海1乙开关手车工作位置
112,10kV,10kV海1乙备用线,海1乙-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海1乙-27,海1乙-27
113,10kV,10kV海1丙备用线,海1丙开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海1丙,海1丙
114,10kV,10kV海1丙备用线,海1丙开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海1丙开关手车工作位置,海1丙开关手车工作位置
115,10kV,10kV海1丙备用线,海1丙-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海1丙-27,海1丙-27
116,10kV,10kV海21备用线,海21开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海21,海21
117,10kV,10kV海21备用线,海21开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海21开关手车工作位置,海21开关手车工作位置
118,10kV,10kV海21备用线,海21-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海21-27,海21-27
119,10kV,10kV海22备用线,海22开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海22,海22
120,10kV,10kV海22备用线,海22开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海22开关手车工作位置,海22开关手车工作位置
121,10kV,10kV海22备用线,海22-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海22-27,海22-27
122,10kV,10kV海23备用线,海23开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海23,海23
123,10kV,10kV海23备用线,海23开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海23开关手车工作位置,海23开关手车工作位置
124,10kV,10kV海23备用线,海23-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海23-27,海23-27
125,10kV,10kV海24备用线,海24开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海24,海24
126,10kV,10kV海24备用线,海24开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海24开关手车工作位置,海24开关手车工作位置
127,10kV,10kV海24备用线,海24-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海24-27,海24-27
128,10kV,10kV海25备用线,海25开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海25,海25
129,10kV,10kV海25备用线,海25开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海25开关手车工作位置,海25开关手车工作位置
130,10kV,10kV海25备用线,海25-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海25-27,海25-27
131,10kV,10kV海26备用线,海26开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海26,海26
132,10kV,10kV海26备用线,海26开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海26开关手车工作位置,海26开关手车工作位置
133,10kV,10kV海26备用线,海26-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海26-27,海26-27
134,10kV,10kV海31备用线,海31开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海31,海31
135,10kV,10kV海31备用线,海31开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海31开关手车工作位置,海31开关手车工作位置
136,10kV,10kV海31备用线,海31-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海31-27,海31-27
137,10kV,10kV海32备用线,海32开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海32,海32
138,10kV,10kV海32备用线,海32开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海32开关手车工作位置,海32开关手车工作位置
139,10kV,10kV海32备用线,海32-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海32-27,海32-27
140,10kV,10kV海33备用线,海33开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海33,海33
141,10kV,10kV海33备用线,海33开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海33开关手车工作位置,海33开关手车工作位置
142,10kV,10kV海33备用线,海33-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海33-27,海33-27
143,10kV,10kV海34备用线,海34开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海34,海34
144,10kV,10kV海34备用线,海34开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海34开关手车工作位置,海34开关手车工作位置
145,10kV,10kV海34备用线,海34-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海34-27,海34-27
146,10kV,10kV海35备用线,海35开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海35,海35
147,10kV,10kV海35备用线,海35开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海35开关手车工作位置,海35开关手车工作位置
148,10kV,10kV海35备用线,海35-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海35-27,海35-27
149,10kV,10kV海36备用线,海36开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海36,海36
150,10kV,10kV海36备用线,海36开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海36开关手车工作位置,海36开关手车工作位置
151,10kV,10kV海36备用线,海36-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海36-27,海36-27
152,10kV,10kV海41备用线,海41开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海41,海41
153,10kV,10kV海41备用线,海41开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海41开关手车工作位置,海41开关手车工作位置
154,10kV,10kV海41备用线,海41-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海41-27,海41-27
155,10kV,10kV海42备用线,海42开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海42,海42
156,10kV,10kV海42备用线,海42开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海42开关手车工作位置,海42开关手车工作位置
157,10kV,10kV海42备用线,海42-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海42-27,海42-27
158,10kV,10kV海43备用线,海43开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海43,海43
159,10kV,10kV海43备用线,海43开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海43开关手车工作位置,海43开关手车工作位置
160,10kV,10kV海43备用线,海43-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海43-27,海43-27
161,10kV,10kV海44备用线,海44开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海44,海44
162,10kV,10kV海44备用线,海44开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海44开关手车工作位置,海44开关手车工作位置
163,10kV,10kV海44备用线,海44-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海44-27,海44-27
164,10kV,10kV海45备用线,海45开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海45,海45
165,10kV,10kV海45备用线,海45开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海45开关手车工作位置,海45开关手车工作位置
166,10kV,10kV海45备用线,海45-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海45-17,海45-17
167,10kV,10kV海46备用线,海46开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海46,海46
168,10kV,10kV海46备用线,海46开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海46开关手车工作位置,海46开关手车工作位置
169,10kV,10kV海46备用线,海46-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海46-27,海46-27
170,10kV,10kV海47备用线,海47开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海47,海47
171,10kV,10kV海47备用线,海47开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海47开关手车工作位置,海47开关手车工作位置
172,10kV,10kV海47备用线,海47-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海47-27,海47-27
173,10kV,10kV海48备用线,海48开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海48,海48
174,10kV,10kV海48备用线,海48开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海48开关手车工作位置,海48开关手车工作位置
175,10kV,10kV海48备用线,海48-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海48-27,海48-27
176,10kV,10kV海49备用线,海49开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海49,海49
177,10kV,10kV海49备用线,海49开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海49开关手车工作位置,海49开关手车工作位置
178,10kV,10kV海49备用线,海49-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海49-27,海49-27
179,10kV,10kV海4甲备用线,海4甲开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海4甲,海4甲
180,10kV,10kV海4甲备用线,海4甲开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海4甲开关手车工作位置,海4甲开关手车工作位置
181,10kV,10kV海4甲备用线,海4甲-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海4甲-27,海4甲-27
182,10kV,10kV海4乙备用线,海4乙开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海4乙,海4乙
183,10kV,10kV海4乙备用线,海4乙开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海4乙开关手车工作位置,海4乙开关手车工作位置
184,10kV,10kV海4乙备用线,海4乙-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海4乙-27,海4乙-27
185,10kV,10kV海4丙备用线,海4丙开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,海4丙,海4丙
186,10kV,10kV海4丙备用线,海4丙开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,海4丙开关手车工作位置,海4丙开关手车工作位置
187,10kV,10kV海4丙备用线,海4丙-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,海4丙-27,海4丙-27
188,10kV,10kV41母线,24-91手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,24-91,24-91
189,10kV,10kV42母线,24-92手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,24-92,24-92
190,10kV,10kV43母线,24-93手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,24-93,24-93
191,11kV,10kV44母线,24-94手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,24-94,24-94
192,10kV,10kV2441分段,2441开关,交流开关,变位,,位置遥信,PSCADA拉出/推入,一般遥信,是,2441,2441
193,10kV,10kV2441分段,2441开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,2441开关手车工作位置,2441开关手车工作位置
194,10kV,10kV2441分段,2441-42隔离手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,2441-42隔离手车工作位置,2441-42隔离手车工作位置
195,10kV,10kV2442分段,2442开关,交流开关,变位,,位置遥信,PSCADA拉出/推入,一般遥信,是,2442,2442
196,10kV,10kV2442分段,2442开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,2442开关手车工作位置,2442开关手车工作位置
